id,veh_value,exposure,veh_body,veh_age,gender,area,agecat,clm,numclaims
309,1.6,0.260612934,HBACK,1,F,A,1,0,0
310,1.59,0.606783525,HBACK,4,F,A,2,0,0
311,2.81,0.093192616,STNWG,1,M,A,3,0,0
312,2.1,0.15361827,SEDAN,2,F,A,3,0,0
313,2.95,0.384828896,STNWG,2,M,A,4,0,0
314,6.09,0.944720588,STNWG,1,F,A,3,0,0
315,1.22,0.251497851,SEDAN,4,F,A,3,0,0
316,1.06,0.355008622,SEDAN,4,F,A,3,0,0
317,1.9,0.086107184,SEDAN,2,F,A,3,0,0
318,2.76,0.085027997,SEDAN,1,M,A,6,0,0
319,0.98,0.058035101,HBACK,4,M,A,2,0,0
320,2.32,0.978514413,SEDAN,2,M,A,4,0,0
321,1.19,0.450589827,SEDAN,3,F,A,6,0,0
322,1.04,0.30454559,SEDAN,3,F,A,1,0,0
323,2.09,0.637078276,HBACK,1,F,A,5,0,0
324,0.88,0.617651438,COUPE,4,F,A,3,0,0
325,1.1,0.405372692,STNWG,4,M,A,2,0,0
326,0.91,0.065695615,HBACK,3,F,A,3,0,0
327,0.76,0.679960169,SEDAN,4,F,A,1,0,0
328,1.43,0.490261268,HDTOP,3,F,A,3,0,0
329,3.18,0.435898363,HDTOP,2,F,A,1,0,0
330,4.91,0.229759016,STNWG,1,F,A,3,0,0
331,1.06,0.060061606,SEDAN,3,F,A,6,0,0
332,0.62,0.113166912,SEDAN,4,F,A,3,0,0
333,1.2,0.817516911,HBACK,3,M,A,5,0,0
334,4.18,0.999347341,UTE,1,M,A,3,0,0
335,2.97,0.284693207,SEDAN,1,M,A,2,0,0
336,3.05,0.086566335,STNWG,3,F,A,4,0,0
337,2.24,0.063180976,SEDAN,1,M,A,1,0,0
338,1.33,0.131348375,HBACK,1,F,A,5,0,0
339,5.02,0.301803904,STNWG,1,M,A,4,0,0
340,0.49,0.724432846,SEDAN,4,M,A,4,0,0
341,2.16,0.068782944,SEDAN,1,F,A,4,0,0
342,1.04,0.092145825,SEDAN,3,F,A,6,0,0
343,2.19,0.235039321,SEDAN,2,F,A,4,0,0
344,2.67,0.651376803,SEDAN,1,F,A,3,0,0
345,2.12,0.968009105,STNWG,2,M,A,3,0,0
346,4.14,0.496035664,STNWG,3,F,A,4,0,0
347,0.83,0.630815434,HBACK,3,F,A,3,0,0
348,3.01,0.212204993,STNWG,2,M,A,2,0,0
349,1.04,0.425003369,STNWG,3,M,A,4,0,0
350,1.09,0.114278019,SEDAN,3,M,A,2,0,0
351,1.68,0.351628504,SEDAN,2,F,A,3,0,0
352,1.54,0.685101341,SEDAN,2,M,A,6,0,0
353,0.64,0.256327966,SEDAN,4,F,A,4,0,0
354,0.99,0.687849143,SEDAN,4,F,A,4,0,0
355,1.37,0.59793156,HBACK,2,F,A,3,0,0
356,1.57,0.32988275,UTE,4,F,A,4,0,0
357,0.94,0.965052332,HBACK,3,M,A,6,0,0
358,1.21,0.382028026,SEDAN,3,M,A,1,0,0
359,2.67,0.046680383,SEDAN,1,F,A,4,0,0
360,1.55,0.983527747,STNWG,4,F,A,3,0,0
361,2.02,0.306249328,HBACK,1,M,A,3,0,0
362,0.78,0.460400102,HBACK,4,F,A,5,0,0
363,1.18,0.262764787,SEDAN,3,M,A,6,0,0
364,4.7,0.424754111,STNWG,2,M,A,6,0,0
365,4.18,0.99935725,STNWG,3,M,A,6,0,0
366,1.3,0.473865557,STNWG,4,M,A,3,0,0
367,1.24,0.69815327,TRUCK,4,M,A,2,0,0
368,1.05,0.387686096,SEDAN,4,F,A,3,0,0
369,0.5,0.911512499,HBACK,4,M,A,4,0,0
370,1.39,0.276648168,HDTOP,3,M,A,3,0,0
371,0.72,0.274599877,SEDAN,4,F,A,4,0,0
372,4.27,0.225173951,STNWG,2,F,A,2,0,0
373,2,0.678312275,HBACK,2,F,A,5,0,0
374,0.41,0.443008405,SEDAN,4,F,A,5,0,0
375,1.08,0.670357732,SEDAN,3,M,A,2,0,0
376,1.14,0.334258803,SEDAN,4,F,A,6,0,0
377,1.71,0.673984622,SEDAN,3,M,A,6,0,0
378,0.98,0.70880182,HBACK,3,F,A,4,0,0
379,0.86,0.175956876,SEDAN,4,F,A,2,0,0
380,0.86,0.274613242,SEDAN,3,F,A,6,0,0
381,1.49,0.99933989,SEDAN,3,F,A,3,0,0
382,1.02,0.716703039,UTE,4,M,A,1,0,0
383,3.1,0.224537974,STNWG,2,M,A,2,0,0
384,2.28,0.371799675,HDTOP,3,F,A,1,0,0
385,2.52,0.653393356,SEDAN,2,M,A,4,0,0
386,0.94,0.222231534,SEDAN,4,F,A,2,0,0
387,1.29,0.081739858,MIBUS,4,M,A,3,0,0
388,1.13,0.955005947,HBACK,2,F,A,4,0,0
389,1.43,0.666035099,SEDAN,3,M,A,2,0,0
390,0.4,0.945061027,SEDAN,4,M,A,3,0,0
391,4.33,0.387843618,SEDAN,1,M,A,5,0,0
392,3.29,0.373792061,STNWG,1,M,A,1,0,0
393,2.8,0.196764777,STNWG,1,F,A,2,0,0
394,3.55,0.584417149,STNWG,2,M,A,4,0,0
395,2.88,0.338267505,STNWG,3,F,A,2,0,0
396,0.44,0.798289673,SEDAN,4,F,A,2,0,0
397,3.76,0.636927785,STNWG,3,F,A,2,0,0
398,2.87,0.251865999,STNWG,3,F,A,6,0,0
399,1.8,0.316425742,SEDAN,2,F,A,4,0,0
400,1.01,0.104487221,SEDAN,4,F,A,4,0,0
401,0.88,0.942314133,COUPE,4,F,A,4,0,0
402,0.81,0.978485476,SEDAN,4,F,A,5,0,0
403,2.81,0.141402745,STNWG,1,F,A,2,0,0
404,1,0.634556153,HBACK,3,F,A,3,0,0
405,0.65,0.592586784,COUPE,4,F,A,2,0,0
406,5.33,0.999347737,STNWG,1,F,A,5,0,0
407,0.44,0.432203929,HBACK,4,F,A,5,0,0
408,0.88,0.24535994,HBACK,4,F,A,3,0,0
409,2.24,0.732386316,SEDAN,1,M,A,4,0,0
410,1.47,0.138620128,HBACK,1,F,A,4,0,0
411,1.25,0.079569788,HBACK,2,F,A,4,0,0
412,1.14,0.580953362,SEDAN,3,F,A,3,0,0
413,2.05,0.986364105,SEDAN,1,F,A,5,0,0
414,2.88,0.729417306,STNWG,3,F,A,3,0,0
415,2.42,0.827373942,STNWG,2,F,A,3,0,0
416,3.14,0.696292658,STNWG,3,M,A,3,0,0
417,1.15,0.996700368,STNWG,4,M,A,2,0,0
418,1.76,0.707855649,SEDAN,2,M,A,6,0,0
419,0.97,0.098988401,SEDAN,3,F,A,2,0,0
420,1.68,0.383843662,STNWG,3,F,A,4,0,0
421,1.56,0.994066744,SEDAN,3,F,A,1,0,0
422,2.17,0.391149619,HBACK,2,M,A,5,0,0
423,2.74,0.348462886,STNWG,3,M,A,1,0,0
424,1.88,0.203603756,SEDAN,2,F,A,3,0,0
425,1.47,0.215156014,SEDAN,3,M,A,3,0,0
426,1.58,0.478056283,SEDAN,3,M,A,6,0,0
427,1.35,0.069510926,HBACK,3,F,A,4,0,0
428,2.04,0.999338378,STNWG,4,F,A,3,0,0
429,1.55,0.584254524,MIBUS,4,F,A,3,0,0
430,1.58,0.702913043,STNWG,4,M,A,5,0,0
431,3.59,0.346724817,STNWG,2,M,A,5,0,0
432,0.37,0.669466366,SEDAN,4,F,A,5,0,0
433,1.42,0.682173217,UTE,4,M,A,2,0,0
434,1.89,0.931816865,HBACK,2,F,A,5,0,0
435,1.42,0.384561145,HBACK,1,F,A,4,0,0
436,1.15,0.203724097,SEDAN,3,M,A,5,0,0
437,2.41,0.164678749,SEDAN,1,M,A,4,0,0
438,0.38,0.931859754,HBACK,4,M,A,4,0,0
439,1.43,0.925495853,STNWG,4,F,A,2,0,0
440,0.93,0.951712062,HBACK,3,M,A,4,0,0
441,9.45,0.583177501,SEDAN,1,M,A,6,0,0
442,1,0.115775093,SEDAN,4,F,A,1,0,0
443,1.62,0.37084527,SEDAN,3,F,A,5,0,0
444,4.32,0.939040715,SEDAN,1,F,A,4,0,0
445,0.44,0.939154593,SEDAN,4,F,A,5,0,0
446,3.65,0.571297345,SEDAN,1,M,A,4,0,0
447,2.58,0.963361514,HDTOP,2,F,A,2,0,0
448,1.41,0.773641489,HBACK,3,F,A,2,0,0
449,1.69,0.369672492,TRUCK,1,M,A,4,0,0
450,1.31,0.563803549,SEDAN,3,F,A,3,0,0
451,4.69,0.066278374,STNWG,1,M,A,3,0,0
452,1.86,0.453986476,HBACK,2,M,A,4,0,0
453,4.22,0.115038344,SEDAN,1,M,A,1,0,0
454,1.59,0.214246302,SEDAN,2,F,A,6,0,0
455,3.23,0.442534361,SEDAN,2,F,A,4,0,0
456,1.23,0.131197056,STNWG,3,M,A,2,0,0
457,1.51,0.584433074,HBACK,1,M,A,5,0,0
458,1.37,0.10813823,SEDAN,3,F,A,3,0,0
459,1.88,0.056700792,UTE,3,M,A,6,0,0
460,2.4,0.265612203,SEDAN,3,M,A,4,0,0
461,0.44,0.274135049,SEDAN,4,M,A,4,0,0
462,1.38,0.313207839,HBACK,1,M,A,3,0,0
463,0.81,0.975614323,HBACK,4,F,A,3,0,0
464,4.49,0.369970097,STNWG,2,F,A,3,0,0
465,1.03,0.626696907,SEDAN,3,F,A,6,0,0
466,1.44,0.393552701,HBACK,1,F,A,5,0,0
467,0.32,0.570044545,HBACK,4,M,A,5,0,0
468,0.59,0.375707658,HBACK,4,F,A,3,0,0
469,0.76,0.653162564,SEDAN,4,F,A,6,0,0
470,0.68,0.382483968,SEDAN,4,F,A,2,0,0
471,0.91,0.925674787,SEDAN,3,F,A,3,0,0
472,2.45,0.217577599,SEDAN,2,M,A,4,0,0
473,1.49,0.551113603,HBACK,1,F,A,2,0,0
474,2.38,0.6112107,UTE,2,M,A,2,0,0
